sku,claveProducto,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
04435,300000571,6.00,2191.90,2236.00,0.00,0.00,0.00,0.00,0.00,1,1
759-499,300000573,0.00,613.20,613.20,0.00,0.00,0.00,0.00,0.00,1,1
02325,300000574,10.00,429.50,438.10,0.00,0.00,0.00,0.00,0.00,1,1
580-100A,300000579,0.00,4713.70,4713.70,0.00,0.00,0.00,0.00,0.00,1,1
20012588-R,300000581,-228.60,16.90,16.90,0.00,0.00,0.00,0.00,0.00,1,1
01952,300000582,26.00,1012.00,1032.40,0.00,0.00,0.00,0.00,0.00,1,1
01944,300000583,20.00,148.10,151.10,0.00,0.00,0.00,0.00,0.00,1,1
03594,300000585,1.00,1135.40,1158.30,0.00,0.00,0.00,0.00,0.00,1,1
23525,300000586,11.00,4390.10,4478.40,0.00,0.00,0.00,0.00,0.00,1,1
185-050,300000587,2.00,3409.70,3409.70,0.00,0.00,0.00,0.00,0.00,1,1
S-374144,300000590,3.00,3814.70,3814.70,0.00,0.00,0.00,0.00,0.00,1,1
COMPE60VB,300000591,1.00,21324.80,21324.80,0.00,0.00,0.00,0.00,0.00,1,1
S-331122V,300000592,24.00,242.50,242.50,0.00,0.00,0.00,0.00,0.00,1,1
155-991,300000593,1.00,10894.70,10894.70,0.00,0.00,0.00,0.00,0.00,1,1
182-921A,300000596,3.00,4193.60,4193.60,0.00,0.00,0.00,0.00,0.00,1,1
808-555,300000597,1.00,618.60,618.60,0.00,0.00,0.00,0.00,0.00,1,1
701-302,300000598,2.00,11401.40,11401.40,0.00,0.00,0.00,0.00,0.00,1,1
CNR-2590MH,300000600,18.00,35.30,38.20,0.00,0.00,0.00,0.00,0.00,1,1
04127,300000601,12.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
01389,300000602,21.00,5095.40,5197.80,0.00,0.00,0.00,0.00,0.00,1,1
NC-25,300000603,14.00,11.30,12.20,0.00,0.00,0.00,0.00,0.00,1,1
704-278,300000604,2.00,3993.40,3993.40,0.00,0.00,0.00,0.00,0.00,1,1
BD-455039E,300000605,5.00,122296.70,127250.20,0.00,0.00,0.00,0.00,0.00,1,1
S-374130,300000606,1.00,1791.60,1791.60,0.00,0.00,0.00,0.00,0.00,1,1
311-101,300000612,0.00,773.60,773.60,0.00,0.00,0.00,0.00,0.00,1,1
22854,300000613,13.00,567.70,579.10,0.00,0.00,0.00,0.00,0.00,1,1
662-525,300000614,7.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
GTI-425,300000616,0.00,1346.50,1427.40,0.00,0.00,0.00,0.00,0.00,1,1
S-159580A,300000617,1.00,4311.50,4311.50,0.00,0.00,0.00,0.00,0.00,1,1
HDCBX-360-6,300000618,1.00,96268.80,96268.80,0.00,0.00,0.00,0.00,0.00,1,1
17210-ZE0-822,300000622,1.00,242.80,262.50,0.00,0.00,0.00,0.00,0.00,1,1
01818,300000624,435.00,666.50,679.90,0.00,0.00,0.00,0.00,0.00,1,1
730-397,300000626,2.00,2143.40,2143.40,0.00,0.00,0.00,0.00,0.00,1,1
01131,300000629,2.00,13230.40,13496.40,0.00,0.00,0.00,0.00,0.00,1,1
512-021,300000631,-1.00,279.50,279.50,0.00,0.00,0.00,0.00,0.00,1,1
HDCBX-360-3,300000633,0.00,73275.90,73275.90,0.00,0.00,0.00,0.00,0.00,1,1
B1909053,300000634,2.00,6347.50,6474.40,0.00,0.00,0.00,0.00,0.00,1,1
CP4928A-N,300000635,0.00,162.80,166.00,0.00,0.00,0.00,0.00,0.00,1,1
550-250,300000636,3.00,5589.90,5589.90,0.00,0.00,0.00,0.00,0.00,1,1
704-380,300000638,1.00,368.20,368.20,0.00,0.00,0.00,0.00,0.00,1,1
CNR-2545,300000640,16.00,22.00,23.70,0.00,0.00,0.00,0.00,0.00,1,1
01247,300000642,14.00,3801.30,3877.70,0.00,0.00,0.00,0.00,0.00,1,1
704-551A,300000647,1.00,2128.00,2128.00,0.00,0.00,0.00,0.00,0.00,1,1
28083,300000649,2.00,4704.60,4798.60,0.00,0.00,0.00,0.00,0.00,1,1
23103,300000650,1.00,3046.70,3108.00,0.00,0.00,0.00,0.00,0.00,1,1
S-391TUB-N,300000652,16.00,420.00,450.00,0.00,0.00,0.00,0.00,0.00,1,1
103-826,300000654,1.00,6163.90,6163.90,0.00,0.00,0.00,0.00,0.00,1,1
SLG-600,300000655,-1.00,247.20,262.10,0.00,0.00,0.00,0.00,0.00,1,1
20022969,300000657,140.90,211.50,211.50,0.00,0.00,0.00,0.00,0.00,1,1
NC-19,300000658,3.00,6.20,6.70,0.00,0.00,0.00,0.00,0.00,1,1
704-263A,300000665,1.00,1450.90,1450.90,0.00,0.00,0.00,0.00,0.00,1,1
TENR-25,300000666,3.00,32.30,34.90,0.00,0.00,0.00,0.00,0.00,1,1
01980,300000667,1.00,9972.20,10172.70,0.00,0.00,0.00,0.00,0.00,1,1
ADB-01038,300000668,18.00,249.40,269.60,0.00,0.00,0.00,0.00,0.00,1,1
04523,300000670,1.00,3120.70,3183.50,0.00,0.00,0.00,0.00,0.00,1,1
CTG-V01038,300000672,6.00,186.70,201.90,0.00,0.00,0.00,0.00,0.00,1,1
NC-38,300000673,5.00,17.30,18.70,0.00,0.00,0.00,0.00,0.00,1,1
665-2912,300000676,0.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
697-635,300000680,2.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
920-001,300000682,3.00,623.80,623.80,0.00,0.00,0.00,0.00,0.00,1,1
920-001,300000683,3.00,623.80,623.80,0.00,0.00,0.00,0.00,0.00,1,1
GA40T,300000684,-1850.00,29.43,29.43,0.00,0.00,0.00,0.00,0.00,1,1
661-311,300000685,0.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
944-030A,300000686,2.00,3037.00,3037.00,0.00,0.00,0.00,0.00,0.00,1,1
661-613,300000687,2.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
S-331015V,300000688,6.00,221.40,221.40,0.00,0.00,0.00,0.00,0.00,1,1
11936,300000689,2.00,1798.40,1834.50,0.00,0.00,0.00,0.00,0.00,1,1
S-331116V,300000692,15.00,48.70,48.70,0.00,0.00,0.00,0.00,0.00,1,1
697-215,300000696,1.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
702-130,300000697,1.00,1298.90,1298.90,0.00,0.00,0.00,0.00,0.00,1,1
K-210550,300000698,1.00,5983.90,5983.90,0.00,0.00,0.00,0.00,0.00,1,1
0512221A,300000699,1.00,2140.10,2140.10,0.00,0.00,0.00,0.00,0.00,1,1
