sku,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
MAN200P,6.00,67.20,72.60,0.00,0.00,0.00,0.00,0.00,1,1
W-0143513,0.00,1073.60,1095.10,0.00,0.00,0.00,0.00,0.00,1,1
704-341,0.00,583.00,583.00,0.00,0.00,0.00,0.00,0.00,1,1
E700710,4.00,11947.50,11947.50,0.00,0.00,0.00,0.00,0.00,1,1
721-217,0.00,552.08,552.08,0.00,0.00,0.00,0.00,0.00,1,1
G91001,1.00,558.60,558.60,0.00,0.00,0.00,0.00,0.00,1,1
20704450,15.40,1653.99,1653.99,0.00,0.00,0.00,0.00,0.00,1,1
00767,1.00,691.10,705.00,0.00,0.00,0.00,0.00,0.00,1,1
506-217,0.00,15651.50,15651.50,0.00,0.00,0.00,0.00,0.00,1,1
13101-ZL0-010,0.00,504.50,545.40,0.00,0.00,0.00,0.00,0.00,1,1
BAL-11,0.00,196.44,212.15,0.00,0.00,0.00,0.00,0.00,1,1
704-2000,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,1,1
BANA-40,0.00,122.24,132.13,0.00,0.00,0.00,0.00,0.00,1,1
755-192,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
PRO-2032,0.00,253.60,253.60,0.00,0.00,0.00,0.00,0.00,1,1
B2615980,0.00,3802.90,3802.90,0.00,0.00,0.00,0.00,0.00,1,1
20242196,15.00,120.80,120.80,0.00,0.00,0.00,0.00,0.00,1,1
W-0371411,2.00,871.20,888.60,0.00,0.00,0.00,0.00,0.00,1,1
SUA-15032,0.00,3809.90,4118.50,0.00,0.00,0.00,0.00,0.00,1,1
E700710,0.00,7079.00,7079.00,0.00,0.00,0.00,0.00,0.00,1,1
761-080,3.00,1203.70,1203.70,0.00,0.00,0.00,0.00,0.00,1,1
B-14517,0.00,36.20,36.20,0.00,0.00,0.00,0.00,0.00,1,1
100000002,2.00,42.80,42.80,0.00,0.00,0.00,0.00,0.00,1,1
S-109125,5.00,67.10,67.10,0.00,0.00,0.00,0.00,0.00,1,1
PRO-10716,0.00,5.67,5.67,0.00,0.00,0.00,0.00,0.00,1,1
20A3263600,0.00,806.40,871.70,0.00,0.00,0.00,0.00,0.00,1,1
641-309SC5,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
23889,0.00,201.00,205.00,0.00,0.00,0.00,0.00,0.00,1,1
89229510,0.00,3260.60,8151.50,0.00,0.00,0.00,0.00,0.00,1,1
B2615960V,0.00,6770.34,6906.47,0.00,0.00,0.00,0.00,0.00,1,1
19122,0.00,4358.40,4446.00,0.00,0.00,0.00,0.00,0.00,1,1
770-373,7.00,116.00,116.00,0.00,0.00,0.00,0.00,0.00,1,1
20121,0.00,211.57,215.83,0.00,0.00,0.00,0.00,0.00,1,1
20241915,2.00,606.40,606.40,0.00,0.00,0.00,0.00,0.00,1,1
641-219,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
CNR-1990,0.00,13.17,14.24,0.00,0.00,0.00,0.00,0.00,1,1
BAL-12,0.00,72.70,78.50,0.00,0.00,0.00,0.00,0.00,1,1
6220-8118-5,0.00,16544.60,17537.70,0.00,0.00,0.00,0.00,0.00,1,1
BAL-4,2.00,54.00,54.00,0.00,0.00,0.00,0.00,0.00,1,1
SH-38023,2.00,261.70,261.70,0.00,0.00,0.00,0.00,0.00,1,1
01982,0.00,185.14,188.86,0.00,0.00,0.00,0.00,0.00,1,1
NNR-0604,0.00,11.00,11.90,0.00,0.00,0.00,0.00,0.00,1,1
700-1038,1.00,4705.80,4705.80,0.00,0.00,0.00,0.00,0.00,1,1
14771-ZE2-000,1.00,74.39,80.41,0.00,0.00,0.00,0.00,0.00,1,1
20022939-R,0.00,273.20,273.20,0.00,0.00,0.00,0.00,0.00,1,1
770-470,4.00,1058.40,1058.40,0.00,0.00,0.00,0.00,0.00,1,1
